Date,vix_Open,vix_High,vix_Low,vix_Close,vxn_Open,vxn_High,vxn_Low,vxn_Close,vxn_Adj_Close,vxn_Volume,ndxt_Open,ndxt_High,ndxt_Low,ndxt_Close,ndxt_Adj_Close,ndxt_Volume,Mkt-RF,SMB,HML,RMW,CMA,RF,Ticker,Open,High,Low,Close,Volume,OpenInt
20100811,24.96,26.1,24.96,25.39,23.559998999999998,27.549999,23.559998999999998,26.9,26.9,0,1125.540039,1125.560059,1106.26001,1113.52002,1113.52002,0,-2.91,-1.07,-0.65,1.06,-0.57,0.001,pnqi.us.txt,27.936,27.936,27.586,27.606,3834,0
20100812,27.21,27.21,25.18,25.73,28.91,28.950001,26.469998999999998,27.629998999999998,27.629998999999998,0,1083.530029,1098.339966,1080.109985,1093.76001,1093.76001,0,-0.5,0.02,-0.04,0.55,-0.18,0.001,pnqi.us.txt,27.286,27.856,27.236,27.816,13882,0
20100813,26.08,26.26,25.45,26.24,27.629998999999998,28.27,27.42,28.07,28.07,0,1092.209961,1099.76001,1089.910034,1089.949951,1089.949951,0,-0.47,-0.78,0.24,-0.16,-0.03,0.001,pnqi.us.txt,27.656,27.796,27.626,27.796,3972,0
20100816,27.41,28.1,25.38,26.1,28.09,29.469998999999998,26.639999,27.08,27.08,0,1081.530029,1100.869995,1078.439941,1092.800049,1092.800049,0,0.1,0.88,-0.2,-0.07,0.08,0.001,pnqi.us.txt,27.506,28.015,27.486,27.816,3357,0
20100817,24.72,24.89,23.71,24.33,27.059998999999998,27.059998999999998,24.98,25.92,25.92,0,1099.839966,1116.170044,1097.040039,1106.209961,1106.209961,0,1.31,0.5,-0.18,-0.28,0.16,0.001,pnqi.us.txt,28.315,28.395,28.125,28.125,13768,0
20100818,24.3,25.23,23.4,24.59,25.969998999999998,26.530001000000002,24.629998999999998,25.98,25.98,0,1102.589966,1119.060059,1098.180054,1112.27002,1112.27002,0,0.21,0.08,0.07,0.06,0.34,0.001,pnqi.us.txt,28.115,28.205,27.916,27.985,4304,0
20100819,24.48,26.78,24.26,26.44,25.809998999999998,27.530001000000002,25.68,26.9,26.9,0,1110.469971,1117.849976,1096.670044,1103.52002,1103.52002,0,-1.74,-0.86,-0.41,0.38,-0.42,0.001,pnqi.us.txt,27.866,28.065,27.866,28.035,2638,0
20100820,26.73,27.0,25.49,25.49,27.43,27.43,25.75,25.76,25.76,0,1105.069946,1114.170044,1100.469971,1111.619995,1111.619995,0,-0.28,0.23,-0.23,-0.13,-0.18,0.001,pnqi.us.txt,27.946,28.155,27.896,28.155,8557,0
20100823,25.97,25.97,24.62,25.66,25.76,26.99,25.76,26.49,26.49,0,1114.599976,1120.640015,1097.670044,1097.890015,1097.890015,0,-0.5,-0.9,-0.44,0.27,-0.41,0.001,pnqi.us.txt,27.856,28.095,27.856,27.866,1130,0
20100824,27.91,28.77,26.32,27.46,26.49,30.07,26.49,28.469998999999998,28.469998999999998,0,1080.939941,1091.900024,1072.97998,1082.550049,1082.550049,0,-1.48,0.16,0.14,0.2,-0.13,0.001,pnqi.us.txt,27.356,27.506,27.296,27.366,32840,0
20100825,28.3,28.92,26.46,26.7,29.49,29.98,27.18,27.77,27.77,0,1074.099976,1092.550049,1069.680054,1087.920044,1087.920044,0,0.45,1.01,0.0,-0.19,0.01,0.001,pnqi.us.txt,27.136,27.656,27.136,27.656,2799,0
20100826,26.45,27.55,25.86,27.37,27.43,28.98,27.35,28.879998999999998,28.879998999999998,0,1092.420044,1095.439941,1073.900024,1075.459961,1075.459961,0,-0.76,-0.09,-0.26,0.13,-0.16,0.001,pnqi.us.txt,27.716,27.716,27.456,27.506,43988,0
20100827,26.5,28.11,24.41,24.45,28.879998999999998,30.309998999999998,26.209999,26.309998999999998,26.309998999999998,0,1082.849976,1095.540039,1060.319946,1092.689941,1092.689941,0,1.82,0.93,0.36,-0.94,0.22,0.001,pnqi.us.txt,27.666,28.125,27.396,28.115,30337,0
20100830,25.88,27.21,25.41,27.21,26.35,27.889999,26.35,27.889999,27.889999,0,1088.719971,1094.050049,1073.869995,1073.869995,1073.869995,0,-1.54,-0.82,-0.4,0.36,-0.33,0.001,pnqi.us.txt,28.095,28.095,27.596,27.606,4601,0
20100831,27.58,27.83,25.93,26.05,27.959999,28.67,27.42,27.450001,27.450001,0,1067.199951,1075.609985,1058.069946,1063.910034,1063.910034,0,0.01,-0.19,0.77,-0.45,0.26,0.001,pnqi.us.txt,27.546,27.746,27.506,27.626,29189,0
20100901,25.13,25.13,23.86,23.89,26.25,26.280001000000002,24.83,24.93,24.93,0,1080.829956,1103.900024,1080.420044,1096.890015,1096.890015,0,3.05,0.69,0.47,-0.34,0.42,0.001,pnqi.us.txt,28.055,28.645,28.055,28.645,2566,0
20100902,24.23,24.31,23.15,23.19,25.190001000000002,25.35,23.809998999999998,23.93,23.93,0,1098.660034,1113.469971,1094.910034,1113.199951,1113.199951,0,0.97,0.23,-0.31,-0.1,0.52,0.001,pnqi.us.txt,28.725,29.145,28.725,29.145,2497,0
20100903,21.99,22.78,21.24,21.31,23.93,23.93,21.719998999999998,21.950001,21.950001,0,1128.0,1132.189941,1116.689941,1129.140015,1129.140015,0,1.35,0.36,0.2,-0.27,0.19,0.001,pnqi.us.txt,29.455,29.465,29.385,29.405,4185,0
20100907,22.77,23.94,22.77,23.8,23.42,24.26,23.219998999999998,23.99,23.99,0,1125.77002,1132.01001,1117.51001,1118.680054,1118.680054,0,-1.23,-0.86,-0.74,0.48,-0.52,0.001,pnqi.us.txt,29.335,29.335,29.135,29.145,8269,0
20100908,23.51,23.56,22.92,23.25,23.99,24.23,23.17,23.530001000000002,23.530001000000002,0,1122.089966,1136.829956,1117.76001,1132.530029,1132.530029,0,0.65,0.05,0.17,-0.35,0.0,0.001,pnqi.us.txt,29.105,29.565,29.105,29.555,3576,0
20100909,22.22,23.24,22.14,22.81,22.49,23.43,22.48,23.290001,23.290001,0,1144.579956,1145.219971,1131.890015,1134.910034,1134.910034,0,0.44,-0.4,0.55,0.03,0.02,0.001,pnqi.us.txt,29.695,29.695,29.485,29.595,4861,0
20100910,22.64,22.87,21.76,21.99,23.290001,23.48,22.82,22.98,22.98,0,1133.540039,1135.640015,1121.060059,1131.069946,1131.069946,0,0.45,-0.08,-0.13,0.17,-0.01,0.001,pnqi.us.txt,29.595,29.685,29.595,29.685,1933,0
20100913,21.06,22.05,20.93,21.21,22.57,22.57,21.9,22.32,22.32,0,1143.089966,1161.23999,1142.969971,1158.640015,1158.640015,0,1.3,1.15,0.21,-0.37,0.31,0.001,pnqi.us.txt,29.984,30.194,29.984,30.184,1449,0
20100914,21.69,21.97,20.85,21.56,22.4,22.709999,21.299999,21.629998999999998,21.629998999999998,0,1156.890015,1174.420044,1151.959961,1167.209961,1167.209961,0,-0.06,-0.29,-0.52,0.24,-0.13,0.001,pnqi.us.txt,30.184,30.254,30.154,30.184,3015,0
20100915,22.55,22.8,22.1,22.1,22.219998999999998,22.469998999999998,21.91,22.15,22.15,0,1162.560059,1173.170044,1157.099976,1171.069946,1171.069946,0,0.36,0.1,-0.23,0.21,-0.29,0.001,pnqi.us.txt,30.254,30.264,30.234,30.244,1388,0
20100916,22.65,22.83,21.71,21.72,22.15,22.76,21.74,21.809998999999998,21.809998999999998,0,1168.069946,1176.76001,1164.300049,1175.209961,1175.209961,0,-0.07,-0.54,-0.69,0.22,-0.24,0.001,pnqi.us.txt,30.304,30.364,30.184,30.354,1806,0
20100917,21.65,22.56,21.63,22.01,21.610001,22.52,21.6,22.26,22.26,0,1182.790039,1183.040039,1173.670044,1178.920044,1178.920044,0,0.15,0.55,-0.59,0.19,-0.22,0.001,pnqi.us.txt,30.364,30.464,30.264,30.464,22398,0
20100920,22.47,22.58,21.25,21.5,22.790001,22.889999,22.07,22.43,22.43,0,1181.890015,1193.380005,1176.300049,1191.099976,1191.099976,0,1.6,1.13,0.22,-0.25,0.34,0.001,pnqi.us.txt,30.554,31.154,30.554,31.154,3764,0
20100921,21.54,22.59,21.42,22.35,22.43,23.469998999999998,22.200001,23.26,23.26,0,1191.449951,1198.050049,1184.660034,1189.800049,1189.800049,0,-0.31,-0.31,-0.32,0.08,-0.28,0.001,pnqi.us.txt,31.284,31.584,31.274,31.404,34129,0
20100922,22.56,23.19,21.91,22.51,23.700001,24.219998999999998,22.940001000000002,23.629998999999998,23.629998999999998,0,1180.069946,1185.5,1165.469971,1172.209961,1172.209961,0,-0.52,-0.57,-0.53,0.61,-0.19,0.001,pnqi.us.txt,31.354,31.354,31.094,31.274,10177,0
20100923,23.91,24.06,22.56,23.87,23.629998999999998,24.67,23.219998999999998,24.26,24.26,0,1162.540039,1187.050049,1161.400024,1173.689941,1173.689941,0,-0.78,-0.16,-0.68,0.25,-0.17,0.001,pnqi.us.txt,31.124,31.764,31.124,31.504,3336,0
20100924,22.61,22.61,21.71,21.71,24.379998999999998,24.379998999999998,22.43,22.719998999999998,22.719998999999998,0,1189.319946,1207.150024,1188.26001,1206.410034,1206.410034,0,2.19,0.96,0.48,-0.72,0.52,0.001,pnqi.us.txt,32.023,32.263,31.983,32.263,1746,0
20100927,22.58,22.75,21.97,22.54,23.49,23.68,22.91,23.639999,23.639999,0,1205.949951,1210.97998,1198.880005,1202.069946,1202.069946,0,-0.46,0.19,-0.45,0.18,-0.08,0.001,pnqi.us.txt,32.323,32.593,32.313,32.583,4838,0
20100928,22.92,24.28,22.4,22.6,23.66,25.73,23.610001,23.860001,23.860001,0,1206.780029,1216.589966,1188.089966,1214.0,1214.0,0,0.58,0.53,0.1,-0.23,0.23,0.001,pnqi.us.txt,32.563,32.643,32.113,32.543,5667,0
20100929,23.14,23.45,22.72,23.25,24.18,24.690001000000002,23.950001,24.48,24.48,0,1211.069946,1223.910034,1209.949951,1220.959961,1220.959961,0,-0.17,0.64,-0.25,-0.11,0.05,0.001,pnqi.us.txt,32.513,32.603,32.483,32.583,9397,0
20100930,22.85,24.52,22.39,23.7,24.48,25.68,23.610001,24.959999,24.959999,0,1227.930054,1235.75,1204.560059,1214.530029,1214.530029,0,-0.26,0.1,0.3,-0.12,-0.01,0.001,pnqi.us.txt,32.803,32.803,31.933,32.273,8792,0
20101001,22.9,23.67,22.46,22.5,24.98,25.110001,23.84,23.98,23.98,0,1222.660034,1228.579956,1210.109985,1215.099976,1215.099976,0,0.43,0.03,0.21,0.06,0.28,0.001,pnqi.us.txt,32.463,32.463,31.814,31.943,16320,0
20101004,23.63,24.34,23.3,23.53,23.969998999999998,26.09,23.969998999999998,25.16,25.16,0,1210.589966,1213.640015,1188.640015,1199.719971,1199.719971,0,-0.88,-0.73,-0.07,0.04,0.02,0.001,pnqi.us.txt,31.863,31.863,31.374,31.534,13008,0
20101005,22.52,23.08,21.71,21.76,24.34,24.34,23.120001000000002,23.43,23.43,0,1211.819946,1230.25,1211.109985,1227.930054,1227.930054,0,2.11,0.77,0.14,-0.23,0.12,0.001,pnqi.us.txt,32.023,32.483,32.023,32.443,9827,0
20101006,21.82,22.13,21.46,21.49,23.67,24.34,23.42,23.530001000000002,23.530001000000002,0,1225.040039,1226.099976,1197.410034,1204.23999,1204.23999,0,-0.1,-0.39,0.47,0.19,0.19,0.001,pnqi.us.txt,32.123,32.153,30.984,31.174,57331,0
20101007,21.31,22.16,21.28,21.56,23.530001000000002,23.99,23.059998999999998,23.059998999999998,23.059998999999998,0,1212.359985,1215.630005,1198.540039,1212.51001,1212.51001,0,-0.16,0.06,-0.29,-0.01,0.02,0.001,pnqi.us.txt,31.314,31.424,31.004,31.204,10810,0
20101008,21.58,21.64,20.29,20.71,23.059998999999998,23.32,21.690001000000002,21.98,21.98,0,1213.300049,1222.47998,1199.780029,1219.959961,1219.959961,0,0.74,0.86,-0.13,-0.34,0.4,0.001,pnqi.us.txt,31.404,31.574,31.014,31.554,34703,0
20101011,19.33,19.51,18.8,18.96,20.92,20.92,20.16,20.4,20.4,0,1221.939941,1229.650024,1218.319946,1221.469971,1221.469971,0,0.04,0.04,-0.22,0.36,0.01,0.001,pnqi.us.txt,31.554,31.714,31.424,31.424,3971,0
20101012,20.0,20.1,18.55,18.93,21.059998999999998,21.77,20.32,20.540001,20.540001,0,1220.75,1237.959961,1211.119995,1235.410034,1235.410034,0,0.39,0.0,0.18,-0.16,0.02,0.001,pnqi.us.txt,31.364,31.504,30.984,31.504,2588,0
20101013,17.92,19.16,17.9,19.07,20.540001,20.58,19.950001,20.469998999999998,20.469998999999998,0,1241.900024,1253.430054,1236.430054,1246.910034,1246.910034,0,0.78,0.83,-0.36,-0.07,-0.05,0.001,pnqi.us.txt,31.843,32.093,31.843,31.933,28105,0
